Country,Year,Status,Life expectancy,Population,Alcohol,Polio, HIV/AIDS
Angola,2001,Developing,45.7,16983266.0,2.58,41.0,2.1
Angola,2000,Developing,45.3,1644924.0,1.85,3.0,2.0
Argentina,2014,Developing,76.2,42981515.0,7.93,92.0,0.1
Argentina,2013,Developing,76.0,42539925.0,8.28,99.0,0.1
Argentina,2012,Developing,75.9,4296739.0,8.35,99.0,0.1
Argentina,2011,Developing,75.7,41656879.0,8.11,93.0,0.1
Argentina,2010,Developing,75.5,41223889.0,8.15,95.0,0.1
Argentina,2009,Developing,75.6,479947.0,8.33,97.0,0.1
Argentina,2008,Developing,75.4,4382389.0,8.41,94.0,0.1
Argentina,2007,Developing,74.8,3997224.0,8.16,92.0,0.1
Argentina,2006,Developing,75.2,3955889.0,7.75,92.0,0.1
Argentina,2005,Developing,74.9,39145488.0,7.53,95.0,0.1
Argentina,2004,Developing,74.7,38728696.0,7.63,91.0,0.1
Argentina,2003,Developing,74.1,3839379.0,7.62,95.0,0.1
Argentina,2002,Developing,74.1,3788937.0,7.81,94.0,0.1
Argentina,2001,Developing,74.0,3747159.0,7.76,85.0,0.1
Argentina,2000,Developing,74.1,3757452.0,7.68,88.0,0.1
Armenia,2014,Developing,74.6,29622.0,3.91,95.0,0.1
Armenia,2013,Developing,74.4,289359.0,3.79,96.0,0.1
Armenia,2012,Developing,74.4,2881922.0,3.89,96.0,0.1
Armenia,2011,Developing,73.9,2875581.0,4.09,96.0,0.1
Armenia,2010,Developing,73.5,2877311.0,4.23,96.0,0.1
Armenia,2009,Developing,73.3,2888584.0,3.96,94.0,0.1
Armenia,2008,Developing,73.2,29822.0,3.96,91.0,0.1
Armenia,2007,Developing,73.5,293356.0,3.99,9.0,0.1
Armenia,2006,Developing,72.9,29585.0,4.01,87.0,0.1
Armenia,2005,Developing,73.0,2981259.0,4.25,92.0,0.1
Armenia,2004,Developing,73.0,3612.0,3.81,93.0,0.1
Armenia,2003,Developing,72.7,31786.0,3.03,96.0,0.1
Armenia,2002,Developing,72.6,333897.0,2.86,96.0,0.1
Armenia,2001,Developing,72.6,35655.0,2.86,97.0,0.1
Armenia,2000,Developing,72.0,369588.0,2.9,96.0,0.1
Australia,2014,Developed,82.7,2346694.0,9.71,92.0,0.1
Australia,2013,Developed,82.5,23117353.0,9.87,91.0,0.1
Australia,2012,Developed,82.3,22728254.0,10.03,92.0,0.1
Australia,2011,Developed,82.0,223424.0,10.3,92.0,0.1
Australia,2010,Developed,81.9,223175.0,10.52,92.0,0.1
Australia,2009,Developed,81.7,216917.0,10.62,92.0,0.1
Australia,2008,Developed,81.3,212492.0,10.76,92.0,0.1
Australia,2007,Developed,81.3,28276.0,10.56,92.0,0.1
Australia,2006,Developed,81.2,26979.0,10.31,92.0,0.1
Australia,2005,Developed,81.0,23948.0,10.3,92.0,0.1
Australia,2004,Developed,86.0,21274.0,9.84,92.0,0.1
Australia,2003,Developed,83.0,198954.0,9.97,92.0,0.1
Australia,2002,Developed,79.9,196514.0,9.84,92.0,0.1
Australia,2001,Developed,79.9,19413.0,9.53,91.0,0.1
Australia,2000,Developed,79.5,19153.0,10.17,9.0,0.1
Austria,2014,Developed,81.4,8541575.0,12.32,98.0,0.1
Austria,2013,Developed,81.1,8479375.0,11.82,95.0,0.1
Austria,2012,Developed,88.0,8429991.0,12.26,92.0,0.1
Austria,2011,Developed,88.0,8391643.0,12.04,89.0,0.1
Austria,2010,Developed,84.0,836344.0,12.1,86.0,0.1
Austria,2009,Developed,82.0,8343323.0,11.3,83.0,0.1
Austria,2008,Developed,84.0,8321496.0,12.0,83.0,0.1
Austria,2007,Developed,81.0,8295487.0,12.5,85.0,0.1
Austria,2006,Developed,79.8,8268641.0,12.4,83.0,0.1
Austria,2005,Developed,79.4,8227829.0,12.4,86.0,0.1
Austria,2004,Developed,79.3,8171966.0,12.1,83.0,0.1
Austria,2003,Developed,78.8,8121423.0,12.2,84.0,0.1
Austria,2002,Developed,78.7,881957.0,12.5,82.0,0.1
Austria,2001,Developed,78.6,842293.0,12.4,83.0,0.1
Austria,2000,Developed,78.1,811566.0,13.2,71.0,0.1
Azerbaijan,2014,Developing,72.5,953579.0,0.01,97.0,0.1
Azerbaijan,2013,Developing,72.2,941681.0,2.14,96.0,0.1
Azerbaijan,2012,Developing,71.9,9295784.0,0.01,92.0,0.1
Azerbaijan,2011,Developing,71.6,917382.0,1.98,91.0,0.1
Azerbaijan,2010,Developing,71.1,954332.0,1.98,85.0,0.1
Azerbaijan,2009,Developing,78.0,8947243.0,2.1,84.0,0.1
Azerbaijan,2008,Developing,73.0,87634.0,1.18,85.0,0.1
Azerbaijan,2007,Developing,73.0,85813.0,1.02,81.0,0.1
Azerbaijan,2006,Developing,69.2,848455.0,0.85,8.0,0.1
Azerbaijan,2005,Developing,68.4,839185.0,0.73,79.0,0.1
Azerbaijan,2004,Developing,68.4,8365.0,0.62,78.0,0.1
Azerbaijan,2003,Developing,67.8,82341.0,0.55,79.0,0.1
Azerbaijan,2002,Developing,67.8,817195.0,0.55,8.0,0.1
Azerbaijan,2001,Developing,67.5,81112.0,0.51,77.0,0.1
Azerbaijan,2000,Developing,66.6,8486.0,0.65,75.0,0.1
Bangladesh,2014,Developing,71.4,15945279.0,0.01,97.0,0.1
Bangladesh,2013,Developing,71.0,157571292.0,0.01,96.0,0.1
Bangladesh,2012,Developing,77.0,15572753.0,0.01,94.0,0.1
Bangladesh,2011,Developing,73.0,153911916.0,0.01,96.0,0.1
Bangladesh,2010,Developing,69.9,15214912.0,0.01,94.0,0.1
Bangladesh,2009,Developing,69.5,1545478.0,0.01,97.0,0.1
Bangladesh,2008,Developing,69.1,14885814.0,0.01,96.0,0.1
Bangladesh,2007,Developing,68.6,147139191.0,0.01,96.0,0.1
Bangladesh,2006,Developing,68.2,1453684.0,0.01,95.0,0.1
Bangladesh,2005,Developing,67.8,14343111.0,0.01,94.0,0.1
Bangladesh,2004,Developing,67.3,14137489.0,0.01,88.0,0.1
Bangladesh,2003,Developing,66.8,139191.0,0.01,9.0,0.1
Bangladesh,2002,Developing,66.3,1366667.0,0.01,83.0,0.1
Bangladesh,2001,Developing,65.8,1341716.0,0.01,85.0,0.1
Bangladesh,2000,Developing,65.3,131581243.0,0.01,83.0,0.1
Belarus,2014,Developing,72.0,9474511.0,13.94,97.0,0.1
Belarus,2013,Developing,71.7,9465997.0,14.66,98.0,0.1
Belarus,2012,Developing,71.9,9464495.0,16.35,98.0,0.1
Belarus,2011,Developing,72.0,9473172.0,17.31,98.0,0.1
Belarus,2010,Developing,73.0,949583.0,14.44,99.0,0.1
Belarus,2009,Developing,70.0,956765.0,14.09,98.0,0.1
Belarus,2008,Developing,70.0,9527985.0,14.67,98.0,0.1
Belarus,2007,Developing,69.8,956953.0,14.22,9.0,0.1
Belarus,2006,Developing,68.9,964924.0,12.6,97.0,0.1
Belarus,2005,Developing,68.1,9663915.0,11.01,98.0,0.1
Belarus,2004,Developing,68.2,973146.0,12.05,99.0,0.1
Belarus,2003,Developing,67.7,9796749.0,11.17,53.0,0.1
Belarus,2002,Developing,67.2,9865548.0,12.23,99.0,0.1
Belarus,2001,Developing,67.7,9928549.0,10.74,99.0,0.1
Belarus,2000,Developing,68.0,997961.0,12.98,99.0,0.1
Belgium,2014,Developed,89.0,112957.0,12.6,99.0,0.1
Belgium,2013,Developed,87.0,11182817.0,11.77,99.0,0.1
Belgium,2012,Developed,83.0,11128246.0,10.08,99.0,0.1
Belgium,2011,Developed,83.0,1147744.0,10.11,98.0,0.1
Belgium,2010,Developed,80.0,1895586.0,10.22,98.0,0.1
Belgium,2009,Developed,79.8,1796493.0,10.05,98.0,0.1
Belgium,2008,Developed,79.5,179973.0,10.47,99.0,0.1
Belgium,2007,Developed,79.5,16257.0,10.25,99.0,0.1
Belgium,2006,Developed,79.4,1547958.0,10.98,99.0,0.1
Belgium,2005,Developed,78.9,1478617.0,12.27,97.0,0.1
Belgium,2004,Developed,78.8,1421137.0,12.05,96.0,0.1
Belgium,2003,Developed,78.3,1376133.0,11.28,96.0,0.1
Belgium,2002,Developed,78.0,1332785.0,11.29,96.0,0.1
Belgium,2001,Developed,78.0,128657.0,11.01,96.0,0.1
Belgium,2000,Developed,77.6,125125.0,11.21,96.0,0.1
Belize,2014,Developing,70.0,351694.0,6.58,95.0,0.2
Belize,2013,Developing,69.8,344181.0,6.56,95.0,0.2
Belize,2012,Developing,69.4,33671.0,6.66,98.0,0.1
Belize,2011,Developing,69.4,329192.0,6.64,95.0,0.5
Belize,2010,Developing,69.5,32168.0,6.76,96.0,0.2
Belize,2009,Developing,69.5,313929.0,6.85,98.0,0.3
Belize,2008,Developing,69.6,36165.0,7.22,94.0,0.1
Belize,2007,Developing,69.6,29847.0,7.24,97.0,0.6
Belize,2006,Developing,69.4,29747.0,6.48,98.0,0.6
Belize,2005,Developing,69.0,283277.0,6.25,96.0,0.8
Belize,2004,Developing,68.7,27689.0,6.2,97.0,0.8
Belize,2003,Developing,68.4,26913.0,5.67,95.0,1.5
Belize,2002,Developing,68.5,26226.0,4.99,93.0,0.1
Belize,2001,Developing,68.2,254984.0,4.9,96.0,0.4
Belize,2000,Developing,68.3,247315.0,4.79,91.0,0.3
Benin,2014,Developing,59.7,1286712.0,0.01,74.0,1.1
Benin,2013,Developing,59.5,14451.0,0.01,73.0,1.2
Benin,2012,Developing,59.3,972916.0,0.01,8.0,1.3
Benin,2011,Developing,59.1,94682.0,1.4,77.0,1.4
Benin,2010,Developing,58.7,9199259.0,1.33,77.0,1.4
Benin,2009,Developing,58.4,894476.0,1.16,8.0,1.6
Benin,2008,Developing,57.6,8696916.0,1.28,77.0,1.8
Benin,2007,Developing,57.1,8454791.0,1.12,82.0,2.0
Benin,2006,Developing,56.8,8216896.0,1.19,76.0,2.0
Benin,2005,Developing,56.5,7982225.0,1.13,73.0,2.1
Benin,2004,Developing,56.1,7754.0,1.15,74.0,2.1
Benin,2003,Developing,55.8,752555.0,1.35,75.0,2.1
Benin,2002,Developing,55.6,7295394.0,1.23,76.0,2.1
Benin,2001,Developing,55.5,776733.0,1.29,77.0,2.1
Benin,2000,Developing,55.4,6865951.0,1.34,78.0,2.0
Bhutan,2014,Developing,69.4,776448.0,0.01,98.0,0.5
Bhutan,2013,Developing,69.1,764961.0,0.01,97.0,0.6
Bhutan,2012,Developing,68.7,752967.0,0.01,97.0,0.6
Bhutan,2011,Developing,68.3,7451.0,0.23,95.0,0.5
Bhutan,2010,Developing,67.9,727641.0,0.28,92.0,0.5
Bhutan,2009,Developing,67.4,714458.0,0.17,93.0,0.4
Bhutan,2008,Developing,67.0,795.0,0.21,96.0,0.4
Bhutan,2007,Developing,66.5,686958.0,0.16,93.0,0.3
Bhutan,2006,Developing,65.8,672228.0,0.29,96.0,0.3
Bhutan,2005,Developing,65.0,656639.0,0.73,95.0,0.3
Bhutan,2004,Developing,64.2,64282.0,0.96,9.0,0.3
Bhutan,2003,Developing,63.3,623434.0,0.52,96.0,0.2
Bhutan,2002,Developing,62.5,66399.0,0.29,89.0,0.1
Bhutan,2001,Developing,61.7,5896.0,0.14,88.0,0.1
Bhutan,2000,Developing,62.0,573416.0,0.17,98.0,0.1
Bosnia and Herzegovina,2014,Developing,77.2,35662.0,4.03,86.0,0.1
Bosnia and Herzegovina,2013,Developing,77.0,364999.0,4.12,87.0,0.1
Bosnia and Herzegovina,2012,Developing,76.8,36482.0,4.61,87.0,0.1
Bosnia and Herzegovina,2011,Developing,76.9,3688865.0,4.64,89.0,0.1
Bosnia and Herzegovina,2010,Developing,76.4,372284.0,4.54,9.0,0.1
Bosnia and Herzegovina,2009,Developing,76.1,3746561.0,4.75,9.0,0.1
Bosnia and Herzegovina,2008,Developing,76.0,3763599.0,5.13,92.0,0.1
Bosnia and Herzegovina,2007,Developing,75.4,3774.0,5.16,95.0,0.1
Bosnia and Herzegovina,2006,Developing,75.7,3779468.0,4.82,91.0,0.1
Bosnia and Herzegovina,2005,Developing,75.0,378153.0,4.56,95.0,0.1
Bosnia and Herzegovina,2004,Developing,75.5,3781287.0,4.25,87.0,0.1
Bosnia and Herzegovina,2003,Developing,75.2,3779247.0,4.14,87.0,0.1
Bosnia and Herzegovina,2002,Developing,75.4,377587.0,3.84,86.0,0.1
Bosnia and Herzegovina,2001,Developing,74.9,3771284.0,3.85,92.0,0.1
Bosnia and Herzegovina,2000,Developing,74.6,376676.0,3.64,87.0,0.1
Botswana,2014,Developing,65.1,2168573.0,0.01,96.0,2.3
Botswana,2013,Developing,64.2,212857.0,0.01,96.0,2.8
Botswana,2012,Developing,63.4,289315.0,0.01,96.0,4.4
Botswana,2011,Developing,62.2,251339.0,5.76,96.0,5.5
Botswana,2010,Developing,61.1,214866.0,5.99,96.0,6.2
Botswana,2009,Developing,59.2,1979882.0,5.01,96.0,9.0
Botswana,2008,Developing,57.5,1946351.0,6.56,96.0,12.7
Botswana,2007,Developing,56.9,1914414.0,6.21,96.0,13.4
Botswana,2006,Developing,54.8,1884238.0,6.45,96.0,14.4
Botswana,2005,Developing,51.7,1855852.0,6.37,96.0,20.6
Botswana,2004,Developing,48.1,182933.0,4.9,96.0,28.4
Botswana,2003,Developing,46.4,184339.0,5.51,96.0,31.9
Botswana,2002,Developing,46.0,1779953.0,6.41,97.0,34.6
Botswana,2001,Developing,46.7,1754935.0,5.48,97.0,37.2
Botswana,2000,Developing,47.8,172834.0,5.37,97.0,38.8
Brazil,2014,Developing,74.8,24213133.0,7.32,96.0,0.1
Brazil,2013,Developing,74.7,2248632.0,7.24,96.0,0.1
Brazil,2012,Developing,74.5,256983.0,7.55,96.0,0.1
Brazil,2011,Developing,74.1,198686688.0,7.58,98.0,0.1
Brazil,2010,Developing,73.8,196796269.0,7.52,99.0,0.1
Brazil,2009,Developing,73.6,194895996.0,7.33,99.0,0.1
Brazil,2008,Developing,73.4,19297929.0,7.21,99.0,0.1
Brazil,2007,Developing,73.3,19126637.0,7.19,99.0,0.1
Brazil,2006,Developing,73.0,18912412.0,7.1,99.0,0.1
Brazil,2005,Developing,72.7,186917361.0,6.97,99.0,0.1
Brazil,2004,Developing,72.0,184738458.0,6.85,99.0,0.1
Brazil,2003,Developing,71.8,182482149.0,6.95,99.0,0.1
Brazil,2002,Developing,71.4,1815121.0,7.0,99.0,0.1
Brazil,2001,Developing,71.0,1777567.0,7.13,99.0,0.1
Brazil,2000,Developing,75.0,175287587.0,7.26,99.0,0.1
Bulgaria,2014,Developed,74.3,7223938.0,12.03,88.0,0.1
Bulgaria,2013,Developed,74.1,7265115.0,12.06,95.0,0.1
Bulgaria,2012,Developed,73.9,735888.0,10.99,95.0,0.1
Bulgaria,2011,Developed,73.7,7348328.0,10.67,95.0,0.1
Bulgaria,2010,Developed,73.4,7395599.0,10.8,94.0,0.1
Bulgaria,2009,Developed,73.2,7444443.0,10.93,94.0,0.1
Bulgaria,2008,Developed,72.9,7492561.0,10.98,96.0,0.1
Bulgaria,2007,Developed,72.6,7545338.0,10.89,95.0,0.1
Bulgaria,2006,Developed,72.2,76122.0,10.39,96.0,0.1
Bulgaria,2005,Developed,72.1,7658972.0,10.48,97.0,0.1
Bulgaria,2004,Developed,72.2,771686.0,10.96,94.0,0.1
Bulgaria,2003,Developed,72.0,7775327.0,11.19,96.0,0.1
Bulgaria,2002,Developed,71.8,7837161.0,10.2,94.0,0.1
Bulgaria,2001,Developed,71.6,89142.0,10.72,94.0,0.1
Bulgaria,2000,Developed,71.1,817172.0,9.69,94.0,0.1
Burkina Faso,2014,Developing,59.3,17585977.0,0.01,91.0,0.6
Burkina Faso,2013,Developing,59.0,1772723.0,4.64,89.0,0.7
Burkina Faso,2012,Developing,58.6,16571216.0,4.75,9.0,0.8
Burkina Faso,2011,Developing,58.1,168194.0,4.51,9.0,0.9
Burkina Faso,2010,Developing,57.5,1565217.0,4.55,9.0,1.0
Burkina Faso,2009,Developing,56.9,1514199.0,4.55,91.0,1.1
Burkina Faso,2008,Developing,56.1,14689726.0,4.5,92.0,1.5
Burkina Faso,2007,Developing,55.3,1425221.0,4.58,93.0,1.7
Burkina Faso,2006,Developing,54.3,13829177.0,4.73,94.0,2.0
Burkina Faso,2005,Developing,53.3,1342193.0,4.88,94.0,2.3
Burkina Faso,2004,Developing,52.4,133569.0,4.54,83.0,2.5
Burkina Faso,2003,Developing,51.6,12654621.0,4.58,83.0,2.9
Burkina Faso,2002,Developing,51.0,122931.0,4.53,69.0,3.2
Burkina Faso,2001,Developing,56.0,11944587.0,4.56,62.0,3.6
Burkina Faso,2000,Developing,51.0,1167942.0,3.71,45.0,4.0
Burundi,2014,Developing,59.1,989179.0,0.01,95.0,0.7
Burundi,2013,Developing,58.6,96186.0,0.01,96.0,1.0
Burundi,2012,Developing,58.0,931971.0,0.01,96.0,1.2
Burundi,2011,Developing,57.4,94358.0,4.16,95.0,1.5
Burundi,2010,Developing,56.8,876693.0,4.16,94.0,1.9
Burundi,2009,Developing,56.2,848931.0,4.05,96.0,2.4
Burundi,2008,Developing,55.3,8212264.0,4.33,89.0,2.9
Burundi,2007,Developing,54.8,7939573.0,4.54,93.0,3.4
Burundi,2006,Developing,54.1,7675338.0,4.5,88.0,3.8
Burundi,2005,Developing,53.4,7423289.0,5.54,82.0,4.3
Burundi,2004,Developing,52.6,7182451.0,5.72,76.0,4.8
Burundi,2003,Developing,51.9,6953113.0,5.84,75.0,5.1
Burundi,2002,Developing,51.5,6741569.0,5.98,74.0,5.2
Burundi,2001,Developing,51.3,6555829.0,6.09,72.0,5.3
Burundi,2000,Developing,58.0,6476.0,6.61,71.0,5.2
Cabo Verde,2014,Developing,73.0,526437.0,0.01,95.0,0.2
Cabo Verde,2013,Developing,72.8,5216.0,0.01,93.0,0.2
Cabo Verde,2012,Developing,72.7,513979.0,0.01,94.0,0.3
Cabo Verde,2011,Developing,72.6,5867.0,5.07,9.0,0.3
Cabo Verde,2010,Developing,72.5,52384.0,4.75,99.0,0.4
Cabo Verde,2009,Developing,72.4,496963.0,4.45,99.0,0.4
Cabo Verde,2008,Developing,72.4,491723.0,4.16,99.0,0.4
Cabo Verde,2007,Developing,72.3,486438.0,5.28,98.0,0.6
Cabo Verde,2006,Developing,72.1,48795.0,4.25,97.0,0.6
Cabo Verde,2005,Developing,71.8,474567.0,4.26,95.0,0.8
Cabo Verde,2004,Developing,71.4,467664.0,4.19,94.0,0.8
Cabo Verde,2003,Developing,71.1,46147.0,4.16,93.0,0.9
Cabo Verde,2002,Developing,77.0,45216.0,3.82,92.0,0.8
Cabo Verde,2001,Developing,73.0,443716.0,3.81,91.0,0.8
Cabo Verde,2000,Developing,69.9,43579.0,3.49,9.0,0.8
Cambodia,2014,Developing,68.3,152779.0,0.01,87.0,0.2
Cambodia,2013,Developing,67.8,1522692.0,0.01,66.0,0.2
Cambodia,2012,Developing,67.4,14776866.0,0.01,84.0,0.3
Cambodia,2011,Developing,67.0,14537886.0,2.12,87.0,0.3
Cambodia,2010,Developing,66.6,143874.0,2.2,88.0,0.5
Cambodia,2009,Developing,66.1,14928.0,2.13,95.0,0.6
Cambodia,2008,Developing,65.6,138859.0,2.24,91.0,0.7
Cambodia,2007,Developing,65.0,13676693.0,2.08,82.0,0.9
Cambodia,2006,Developing,64.1,13474489.0,2.03,8.0,1.1
Cambodia,2005,Developing,62.9,132721.0,1.99,82.0,1.4
Cambodia,2004,Developing,61.5,1363377.0,1.38,86.0,1.7
Cambodia,2003,Developing,63.0,12853124.0,1.44,69.0,1.9
Cambodia,2002,Developing,59.3,12634729.0,1.43,54.0,2.1
Cambodia,2001,Developing,58.5,1242473.0,1.71,59.0,2.2
Cambodia,2000,Developing,57.7,12152354.0,1.51,62.0,2.1
Cameroon,2014,Developing,56.7,2223994.0,0.01,86.0,3.7
Cameroon,2013,Developing,56.4,21655715.0,0.01,88.0,4.0
Cameroon,2012,Developing,55.9,2182383.0,0.01,85.0,4.6
Cameroon,2011,Developing,55.6,252447.0,6.19,8.0,4.9
Cameroon,2010,Developing,55.3,1997495.0,6.15,83.0,5.5
Cameroon,2009,Developing,54.8,19432541.0,5.89,79.0,6.3
Cameroon,2008,Developing,54.2,18978.0,5.9,82.0,6.7
Cameroon,2007,Developing,53.6,18395389.0,5.44,81.0,7.0
Cameroon,2006,Developing,53.3,17899562.0,5.22,78.0,7.2
Cameroon,2005,Developing,52.8,1742795.0,5.03,79.0,7.4
Cameroon,2004,Developing,52.1,1695981.0,4.71,72.0,7.5
Cameroon,2003,Developing,51.8,16513822.0,4.64,72.0,7.7
Cameroon,2002,Developing,51.6,1684886.0,4.58,66.0,7.8
Cameroon,2001,Developing,51.5,15671927.0,4.43,61.0,7.9
Cameroon,2000,Developing,51.4,15274234.0,3.91,57.0,7.7
Canada,2014,Developing,82.0,35544564.0,8.1,91.0,0.1
Canada,2013,Developing,81.8,35155451.0,8.2,91.0,0.1
Canada,2012,Developing,81.6,3475545.0,8.3,99.0,0.1
Canada,2011,Developing,81.5,3434278.0,8.2,87.0,0.1
Canada,2010,Developing,81.2,345274.0,8.4,88.0,0.1
Canada,2009,Developing,81.0,33628571.0,8.4,89.0,0.1
Canada,2008,Developing,87.0,33245773.0,8.3,89.0,0.1
Canada,2007,Developing,85.0,32887928.0,8.3,9.0,0.1
Canada,2006,Developing,85.0,325755.0,8.2,95.0,0.1
Canada,2005,Developing,81.0,32312.0,8.0,93.0,0.1
Canada,2004,Developing,80.0,31995.0,7.8,91.0,0.1
Canada,2003,Developing,79.7,31676.0,7.7,88.0,0.1
Canada,2002,Developing,79.5,31362.0,7.7,88.0,0.1
Canada,2001,Developing,79.4,31819.0,7.6,88.0,0.1
Canada,2000,Developing,79.1,37697.0,7.6,88.0,0.1
Central African Republic,2014,Developing,58.0,4515392.0,0.01,47.0,4.5
Central African Republic,2013,Developing,49.9,4499653.0,0.01,23.0,5.1
Central African Republic,2012,Developing,53.0,449416.0,0.01,47.0,5.1
Central African Republic,2011,Developing,49.8,4476153.0,1.66,47.0,5.8
Central African Republic,2010,Developing,49.2,4448525.0,1.67,46.0,6.6
Central African Republic,2009,Developing,48.6,44423.0,1.56,45.0,7.3
Central African Republic,2008,Developing,47.6,4345386.0,1.52,46.0,8.3
Central African Republic,2007,Developing,46.8,42758.0,1.5,46.0,9.0
Central African Republic,2006,Developing,46.3,421758.0,1.54,47.0,10.0
Central African Republic,2005,Developing,45.9,412791.0,1.5,47.0,11.2
Central African Republic,2004,Developing,45.7,45536.0,1.5,45.0,12.0
Central African Republic,2003,Developing,45.7,3981665.0,1.49,44.0,12.8
Central African Republic,2002,Developing,45.6,397612.0,1.47,42.0,13.4
Central African Republic,2001,Developing,45.6,383223.0,1.52,4.0,13.9
Central African Republic,2000,Developing,46.0,3754986.0,1.51,38.0,14.3
Chad,2014,Developing,52.6,13569438.0,0.01,44.0,2.9
Chad,2013,Developing,52.2,13133589.0,0.64,46.0,3.1
Chad,2012,Developing,51.8,1275135.0,0.62,51.0,3.6
Chad,2011,Developing,51.6,12288651.0,0.56,4.0,3.9
Chad,2010,Developing,51.2,1188722.0,0.5,43.0,4.1
Chad,2009,Developing,57.0,1152786.0,0.47,32.0,4.4
Chad,2008,Developing,49.6,11133861.0,0.45,3.0,4.7
Chad,2007,Developing,49.4,177578.0,0.42,38.0,4.9
Chad,2006,Developing,48.5,1421597.0,0.41,49.0,5.1
Chad,2005,Developing,48.6,1679.0,0.42,37.0,5.2
Chad,2004,Developing,48.5,97143.0,0.34,31.0,5.2
Chad,2003,Developing,48.4,935321.0,0.42,36.0,5.1
Chad,2002,Developing,48.1,91689.0,0.36,31.0,5.0
Chad,2001,Developing,48.0,866312.0,0.3,26.0,4.8
